sentiment,labels
didamba salah kandidat kontestansi pilpres sosok komplit diyakini persis visi jokowi nkri lawan debat berat capres semoga dukungan beliau berkenan turun gelanggang,positive
mantapp setuju semoga terwujud sukses bunda hj khofifah ip calon pilpres,positive
beda kelas gubernur bijak si bodoh yg ngebet presiden kapasitas standar,negative
ga dibilang sekoci ganjar rapatkan barisan kib politik dinamis partai mahami rakyat maju pilpres bismillah ri pakde ganjar,positive
senewen amatdimana disitu partai merah kepanasan awas loh kepincutnanti melamar anies capres,positive
dukungan masyarakat menteri bumn erick thohir mempermudah utk maju pilpres dukungan yg kpd modal kuat pilpres,positive
istighotsah kelancaran ganjar pranowo pilpres yg,positive
mantaabbb jokowi jaga kesehatan mendoakan semoga mas anies baswedan yg menggantikan presiden aamiin yaa robbal alaamiin,positive
presiden jawa dipimpinnya aja miskin,negative
kerja bener ya omongan banjir semarang atasi kalo presiden,neutral
mengharapkan beliau semoga dilancarkan pilpres puan harapan rakyat,positive
gaduh kader elite parpol turun masyarakat edukasi politik terbaik pemilih berorientasi politik gagasan mudah terpecah belah pendekatan emosional hegemoni identitas,neutral
tujuannya adl bgmn pilpres jg ditundaampjabatan presiden diperpanjang proses pemilu yg legalampberujung menjegal calon presiden yg terbendung elektabilitasamppopularitasnya utk tampil panggung pemilihan presiden mudah ditebak koq,neutral
ujungnya zonk masyarakat sehat milih gimana coba presiden aja terjawab kadrun kadrunwati,negative
duluan mengusung anies pilpres coblos partainya,positive
kebutuhan penyelenggaraan pemilu disiapkan salah satunya draft pkpu rencananya dibahas rapat idulfitri,neutral
kordinasi lakukan anies nasionalis mata org asing sisi diam anies support somad amp pengikutnya utk berulah buktinya bersuara dukung anies maju pilpres,negative
prediksi calonnya giliran presiden hasil pemilu,neutral
serentak pengiriman,neutral
buktikan jgan lo bilng hoax nya tolol,negative
prosesnya berjalan ya ketentuan kesepakatan kesepakatan proses ya jalan penyesuaian wapres,neutral
iya dukung presiden,positive
in my opinion perang rusia vs ukraina menaikan elektabilitas bpk capres,positive
obok bangsa ngerti,neutral
sdh pas menteri gak pingin presiden belajarlah dr kenyataan,negative
partai bawa indonesia krisis migrasi besaran pilihan publik,neutral
kewenangan parpol pt menyaring caprescawapres yg angin kelompok radikal nkri dijaga parpol yg bertanggung neg suriah afganistan neg yg bertikai bangsanya,neutral
alhamdulillah semoga allah menguatkan kerjasama menjaga kebersamaan ketiga partai pengusung anies pilpres aamiin yra,positive
rakyat cerdas menilai era reformasi momentum indonesia kediktatoran fakta pilpres philipina pilpres yg reformasi mandeg krn antek orba berkuasa,negative
provinsi termisikin salah gubernur ehhhmalah dukung presiden owalahlogika bodoh,negative
lucu ya yg kebelet presiden pendukung yg kepanasan fix ya peluang anies presiden drpd ganjar,negative
tanggung idiot penyelenggara pemilu tanggung hasilnya peserta pemilu mengubah relevan pemilih,negative
pendukung beratnya sih diakan mantri komando presiden,neutral
semoga et sehat berkat transformasi tubuh bumn laba bumn meningkat menteri bumn eektabilitas et meningkat pilpres laba elektabilitas,positive
menertibkan gak gimana presiden arogan tuh fadlizon,negative
kalo gitu cocoknya presiden,negative
menunda pemilu krn alasan ekonomi joran kekeuh ikn ekonomi susah,negative
cerdas paham cerminan real yg blom utk presiden ri ko anggaran kelebihan bayar beliau skill mengelola keuangan daerah negara,negative
harapan semoga ikhtiar dibarengi doa santri mempermudah jalan ganjar kemenangan pilpres,positive
rezim sluman slumun slamet aturan menghalangi ubah aturannya aktifis rewel kritis tangkap retas wajar indeks demokrasinya babak belur rezim seneng i dont read what i signed,negative
gak bicara reklamasi dahhnanti sesi interpelasi bukti transferan dana formula e yg habiskan apbd trilyunan hadirlepas tanggung ambisi presiden uang trilyunan tsb utk ambisinya,negative
pemilu berhijab,negative
tdk laku dipasarsn pilpres ketum parpol ramai sabotase pemilu mreka sdg dlm krisis kpercayaan publik tdk bs diteladan dlm kepemimpinan politik krn tdk figur yg bs ditonjolkan utk panutan rakyat skrg mreka ramai mendoktrin rakyat utk mlawan konstitusi,negative
puan maharani ketua pdip megawati soekarnoputri mengantongi nama calon presiden diusung pdip pilpres,neutral
emg ganjar ga cocok jdi presiden ga kaos bgitu,negative
sepenggal harapan rakyat indonesia titipkan pundak anies baswedan semoga allah swt kekuatan anies melampaui tahapan tantangan allah takdirkan anies presiden ri,positive
keberhasilan edukasi demokrasi berhasil politik tajam identitas fanatisme relawanpendukung persatuan nasional warga bebas rahasia pilih negarawan profesional berintegritas didukung program terbaik,neutral
tdk nasi bubur ketum partai yg minus kandidat pesimistis utk pemilu dg alasan harapan rakyat negara diurus yg gagasan nasional utk negeri track record yg nyata sesuai dg janjinya,neutral
selamat ganjar rambut nya semoga amanah,positive
rakyat terbelah golkar kawal tahapan pemilu,neutral
alhamdulilah ganjar calon presiden yg amanahamin,positive
saleh daulay tegaskan koalisi indonesia bersatu menangkan pilpres,neutral
presiden melaksanakan pemiu sesuai jadwal saran yg merusak prestasi yg dicapaimerupakan yg lumrah presiden menyiapkanmerestui capres yg sesuai visi cc,neutral
kegiatan bali sembari presiden hadir acara aksi afirmasi bangga buatan indonesia berbincang sebentar sahabat menteri salam kompak indonesia maju,neutral
dgn pengalaman giring memimpin semoga mencalonkan pilpres,positive
sistem pemilupilpres dirubah orang takkan percaya pemilupilpres menimbulkan keraguan sejenisnya,neutral
pemilu hajatan rakyat indonesia bersuka cita mengedepankan semangat persatuan,positive
maju jalan grak kl maju nyapres ya silahkan kl kalah kayak yg udah udah ya ngambek,neutral
capres miskin ide gagasan isinya cmn konten socmed kek orang jualan skin care,negative
kesini mencolok tokoh maju penta politik penasaran pengan bedah pengan ya bangun komunikasi politiknya media hmmmm,neutral
yg diusulkan ditunda pemilu pilpres ditunda yg diperpanjang jabatannya presiden kader parpol yg duduk parlemen kementrian,neutral
meng ber semoga kerusuhan terulang pilpres persatuan indonesia world pinggiran south,positive
sm aje kaya makartuh presiden yg sah msh adatiba main claim aje ente jd pleciden klo jd pleciden yaman sah aje negara lu lg chaos,negative
model gini pengin presiden ngurus jateng aja blepotan kampungku semenjak jateng dikuasai infrastruktur ancuran ambyar pokoke,negative
jutek banget sih mba ngeri kalo sampe jd presiden kerjaannya ngomel,negative
bikin kisruh kalo capek mundur aja lo opung luhut,negative
presiden aja membantu masyarakat blm lg yg ga ketauan bantunya off the record,positive
gue kagak sudi si pemuja bokep presiden dipimpin tukang mebel aja utang meroket dipimpin si feodal den genjer,negative
semoga puan maju pilpres priode mega usung puan lho bestiie,positive
hei mardani kau malu kah kau kumpulkan yg ulama dukung kalahkan dgn jargonmu gagal maning kau goyang lg jokowi dgn narasi ekonom sakit nalar hehehe gagal mardani,negative
kalo udah pilpres kali lembaga bermunculan pelantikan pengurusnya saudara ketua klaim basis massa biar jualan politik,neutral
kemunculan wacana penundaan pemilu pengamat politik igor dirgantara menimbulkan krisis legimitasi pemerintah,neutral
manusia maniak psikopat wan bacot kibul bahaya kalo presiden amburadul tatanan negara,negative
butuh sosok yg memecah belah suara pemiluagar terkonsentrasi kontestan unggulan,neutral
gw fans anistapi liat kelakuan ketololan pendukung ganjar suka fitnah adu dombajadi gerah jugaok gitu gw ngga golput,negative
kalo yg unggul gak tunda pemiluakal sehat,neutral
nyalonin presiden ga banget,negative
namanya jg lg usahacari makan kerja ngga keahliankecuali jualan hoax,negative
nama yg digadang gadang berpotensi maju pilpres puan maharani rekam jejak kepemimpinan puan dinilai karno pemimpin nasional suksesi pemilu puan harapan rakyat,positive
bae jaga kesehatan biar nyoblos pilpres,neutral
presiden omongan nya aja pemecah belah yg ngomong kayak gitu,negative
usul bang keadilan koalisi terbentuk gimana capres anies didampingi wapres wapres i wapres ii keren khan,neutral
digabungkan memakan korban petugas kpps orang mati petugas kpps kewalahan lelah amp masyarakat rentan terprovokasi,neutral
pdip mendukung puan maharani maju pilpres sukses deh bu puan puan harapan rakyat,positive
optimis anis memenangkan pemilu,positive
kelompok masyarakat sosok presiden ganjar terbukti membangkitkan perekonomian jawa pandemi covid,positive
skrg hrs blajar berhitung brp kali elit politik blusukan sblum amp stelah pemilu mmbedakan yg pencitraan,neutral
junjungan umat islam nabi muhammad saw ulama pejabat capres ikuti ulama yg penguasa dalilnya tersesat ulama suu cintai nabi muliakan ulama hormati ortu,neutral
anies baswedan menang pilpres cawapres nya udh suara pemilih juta an org semoga sukses ya nopel bamukmin,positive
jokowi pilpres beliau kalah cianjur perhatian jokowi cianjur luntur gempa menghantam cianjur hancur jokowi dtg membantu menguatkan amp menghibur semoga beliau sehat amp selamat dunia akhirat,positive
pilpres hoax ampujaran kebencian memenuhi medsos pemerintah biarkanlamban menanganinya menggelinding spt bola salju sbg pemimpin rakyat presiden tunjukkan sikap dgn bicara tdk serahkan kpd penegak hukum,neutral
silahkan pilih presiden yaman presiden indonesia orang indonesia asli,negative
menggambarkan karbitan nafsuan ga ngrti sejatinya pemimpin ngimpi capres pilihan lurah aj blom menang,negative
yg capres pilihan gue ganjar,positive
yg ngeyel ngeyel susah persatuan gimana pandangan capres,neutral
kenyataan banget capres prabowo dipasangkan dgn berpotensi memenangkan kontestasi cawapresnya prabowo teratas unggul kerjanya,positive
maaf terlepas urusan politik doakan beliau lekas sembuh beraktivitas mengenal pribadi beliau sebatas tim sukses pilpres beliau pribadi yg sederhana dermawan,positive
ya alloh lindungi dn ga dr bahaya godaan dn tipu daya moncong putih aamiin,negative
semoga memilih pemimpin yg minim benturan pilpres mendatangdan merealisasikan rakyat utk memilih capres th allahu akbar merdeka,positive
mikir ngatasin jawa makmur ngotot maju calon presiden ganjar presiden negara bawa jad negara trmiskn sedunia,negative
prediksi psikologis politik nyata pemilu ditunda khawatiran tolak penundaan pemilu keniscayaan,neutral
si y si kadrun mbak puan capreskan tau elektabilitas mbak puan rendahkadrun takutnya pdip mencapreskan ganjar kadrun bunuh kalahtp pribadi presiden ok yg jgn anis ok anis tp sekeliling y,negative
pemilu elo data darimana suara nasdem turun drastis survey,neutral
ganjar presidenapa duniacari yg inimrputinmalaysia australia kencing celanauraaa,negative
uang bayar massa mending bantu subsidi minyak sebandung raya,neutral
selamat semoga sehat presiden,positive
ikn pulihkan ekonomi aparat birokrasi diimbau berpolitik,neutral
sih tujuannya membanggakan kinerja gak pemimpin presiden ri kinerja nya,negative
walah aja org ga pantes jd presiden biar aja,negative
tempeeee sibuk dgn kengelesannya rasain loe telur dadar wkwkwkwkw banjir semarang n baznaz udah gitu ngebet mo jdi presiden,negative
giliran yg anies baswedan kandidat capres klean ribut turunan arab pdhal org tuanya asli yogyakarta kakeknya pejuang ri ahok yg diusung knp klean nggak turunan cina erick tohir jg ibunya turunan cina diam otak babi,negative
kalo presidennya jokowi ya keputusan beliau,neutral
dengarkan suara rakyat memaksakan berambisi rakyat menunggu the next presiden,positive
die sebenernya sih min presiden gubernur yah bikin festival nya sampe lampung kampanye hati hati min yg ngelaporin bawaslu lg kaya sebelah aja isinya prestasi prestasi beliau eh bilang kampanye terselubung,negative
nasionalis pecah kelompok kelompok capres melenggang mudah gigit jari ayo bersatu indonesia,neutral
ganjar diamanatkan jd presiden papua barat mesti ditolong khusus sdm papua aslinya yg lemah beda dg papua tdk berdaya dr gerogotan penyakit internal tekanan masif eksternal dg hegemoni uang politik budaya,neutral
perahu aja emak setuju gimana presiden,negative
absurd hubungannya pakai jilbab menang pilpres anak anaknya sby gak pakai jilbab beliau terpilih periode,neutral
semoga pilpres indonesia memilih yg terbaik harapan,positive
aksi unjuk mahasiswa ditunggangi kelompok radikal,neutral
kesempatan ps presiden pemilu nggak kalah strategi menghadapi masifnya kecurangan ps berat lembaga survey yg memenangkan ps,neutral
penasaran kakbah salah doa politisi capres partainya dimenangkan pemilu,neutral
kasihan capres thn keburu usianya ketuaan pemilunya ditunda,negative
ogaaahpake banget capres rekrut jd relawan voter relawan,negative
deklarasi dukungan sembako kalo buzzerp cebong penggembira penguasa masuk pelanggaran pemilu nggak yaterus emangnya nggak butuh dana yadananya darimana kalo nggak yg usung rugi,neutral
capres boneka mandiri merdeka bravo anies,positive
entar dipakai utk menyerang capres tahukan cebong yg suka membolak balikan fakta,negative
presiden membuktikan kualitas hebatnya memimpin negeri onward suka suka realitanya,positive
jokowi biar istirahat beliau biar tokoh dipilih rakyat pilpres pemimpin sesuai konstitusi,neutral
sombong orang jabatan mah cm titipan udah selesai ya digantikan orang jokowi jg selesai perjuangkan orang yg ente dukung senangi pilpres dngn menyosialisasikan ide gagasannya yg brilian,neutral
kasiha membumi langit melangit bumi cari presiden yg membumi menggetarkan langit,negative
plus minusnya sihh terbuka tertutup digugat kader pdip pemilu jaman orba coblos lambang parpol kursi legislatif ditentukan parpol,neutral
entar presiden rakyat ya,positive
tahapan pemilu,neutral
bismillah berkoalisi mendukung presiden yuk partai silahkan bergabung,positive
si imin pkb dimundurkan coba disurvei ulang dimajukan,neutral
janji mantan gub dki presiden kemacetan banjir mudah atasi terbukti terima kasih bang,positive
gak cocok presiden ri,negative
kasian buzeer anis kena preng anis maju kotanya bahagia rakyat nya nya anis presiden pendidikan maju bukti nya dki jakarta aja ga becus urus warga nya haduh halu lo ketinggian gila lo,negative
ngurusin banjir aja susah bisanya main ngurusin negara ngimpi nya jd presiden,negative
presiden turun tahta suksesi minat capres petualang pilihlah berdasarkan rekam jejak,neutral
prabowo presiden,positive
mencalonkan mnjd presidenkok pencitraannya melebihi presidenhayooo pakudh restuin partai bpk belom kalo mah ga maju pakkepedean diahehehe,negative
achtung achtung anak perempuan berhijab dukung anies capres cc,negative
kasian gini pengen jd presiden dg pencitraaan tolol wkwkwkwkwwkwkwkw niru kakak seperguruan nya lu pikir org milih org sok pencitraan kyk lu wkwkwkwkw mending nonton bokep,negative
sikap bijak presiden ri bijak menterinya bijak udah nggak sabar dipimpin,positive
calon capres spt gak wkt utk sedih liat pendukungnya yg militanrasis spt yg gak ambil pusing kelakuan pendukungnya,neutral
apalah klo pas pemilihan pilkada pilpres bohongi citra fanatisme buta sosok politisi,neutral
mayoritas masyarakat penyelenggaraan pemilu diundur,neutral
setujuu anies cocok banget dipasangkan bu puan pilpres semoga terwujud amiin,positive
heboh kekuatan politik jokowi pilpres,neutral
clear laser knapa nyinyir jgn bikin gaduh internal n rugikan partai fokus pencapresan aja,positive
calon pemimpin negara dgn budaya budaya akar dr pohon yg indonesia paham nggih jgn dgn ucapan tindakan,neutral
bagusnya king maker kayak megawati menang jabatan megawati diborong plus gelar profesor hc dibuli capres sejati ya,negative
keadilan diperjuangkan klu hnya janji doang sih smua orang gw pendukung militan beliau cawapres capres kecewa ketidakadilan dipertontonkan anak bangsa negeri,negative
gua gk bilang ahok jd presiden drun yg milih jokowi gk yg milih wan got ya kalo seandainya ahok ama wan got gk wan got menang jualan agama lg aja wan got,negative
presiden wapres patuh konstitusi penundaan pemilu periode,neutral
kemunduran pemilu laksanakan sistem proporsional tertutup namanya kemunduran demokrasi,neutral
harapan sbg rakyat kalo kelak presiden pornografi sehala dilegalkan ya sy nuhun sewu mendingan pernikahan dimudahkan dimurahkan,positive
ngebet banget presiden,negative
lo ga malu gt menurunkan marwah jokowi presiden lo bandingkan seorg gubernur segitu ketakutan nya kah pasca ga dpt jatah nasi bungkus msh ketakutan nya dr,negative
sejalan arahan presiden joko widodo jajarannya dpt dukungan sepenuhnya terkait anggaran personel amp logistik kepemiluan berjalan berkualitas mendengar aspirasi rakyat,neutral
sukseskan pilpres doakan ganjar menang pilpes semoga berjalan lancar,positive
sejalan arahan presiden joko widodo jajarannya dpt dukungan sepenuhnya terkait anggaran personel amp logistik kepemiluan berjalan berkualitas mendengar aspirasi rakyat,neutral
tunda pemilu periode silahkan tp hak konstitusi menolak lawan,neutral
tunggu presiden keburu gede tu paham,neutral
yg numpang ketenaran yg memaksakan kehendak yg utk melindungi keluarganya yg ingusan yg suka bayar apapun pilihannya presidennya,negative
gw lo dah info kalo kaos tsb simpatisan yg anies presiden kalo mang dasar benci mo aja lo gak suka lo spin karna setan pembenci kasian,negative
tokoh politik calon presiden monggo dengarkan suara rakyatmu judul isu politik pemilu video rakyat,neutral
semoga presiden terpilih pilpres orang menghentikan kerusakan rejim langkah koreksi prof anies baswedan tokoh,positive
pesan tulus orang presiden ri menang semoga terbaik indonesia rakyat indonesia aamiin salam,positive
perihal pendaan aksi perihal kepentingan berbeda pemilu dki moment bertepatan politik momentum politik apapun kegiatan acaranya dipandang perspektif politik,neutral
profesor yg diikuli dll menebar narasi pemimpin muslim yg pergi ibadah agama dianalogikan calon presiden makan babi lakukanprofsampah,negative
ambisi pilpres cari nama sensasi namanya pencitraan semoga rakyat cerdas memilih pemimpin,positive
pengamatan yg terbaik pemilu konstelasi capres yg berkembang yg maju pilpres pasangan gerindra pdip bagus pasangan gender laki wanita maju serasih,positive
semoga pa listyo tabah menegakkan hukum pandang bulu polri sigap menjelang pilpres mengawal pembangunan ikn,positive
nunggu komentar n bikin keputusan biar ga sibuk urus capres n cawapres aja,neutral
tanggung mensukseskan pemilu sehat bebas korupsi berintegritas selamat pimpinan kpk gagasannya,positive
dikaji dipakai sistem segi keamanan teknologi terjamin diaudit forensik,neutral
yaa allaah bln romadhon mu yg mulia hamba mohon semoga engkau dg kekuatan alam nusantara yg indah menjdkan bpk sbg presiden amp wakil presiden nkri aamiin,positive
semoga aja ganjar pranowo maju pilpres presiden ri,positive
pilih presiden tu yg jls kalo ky yg motor seken gak dpt minyak hei nul sebener nya lu tu tolol pikiran lu cetek keterbelakang kpn maju nya lu nul kerja yg bnr kd buzzer aja haram duit nya,negative
kasihan kalo pendukung yg membabi buta gini respek pendukung amp mendukung gp maju alangkah baiknya pro nkri dukung amp merangkul jngn malu kalo ketawain mah kadal hadeww,neutral
bekal yg pilihan rasional mengatasi risiko polarisasi pilpres,neutral
ganjar anies tokoh teratas dirujuk publik calon presiden dominan,neutral
sosok penerus joko widodo semoga pilpres presiden pengganti joko widodo bersikan indonesia mental korupsi kerja kerja kerja,positive
ganjar presiden tolong bikin jalan tol bikin jalan yg gratis rakyat jelata ya,neutral
urus supply minyak goreng aja gak koq berkuasa gak malu,negative
alhamdulillah mari berjuang insyaallah presiden ri,positive
presiden ya ya,positive
tuntutan dituruti stop unjuk,neutral
orab keturunan arab presiden yg orang jawa primbon jawa kejawen jawa,negative
klow mimpi jng ketinggian daerahnya aja blm bs d sejahterakan apalg jd presiden ganjaranganjaran blm jd presiden dh bnyk bohong,negative
patriarki feodalism negara nenek moyangnya anak mantan presiden cucu proklamtor bangsa filosofi cina keturunan membangun keturunan mengembangkan yg ketiga menghabiskanmenghancurkan awas,negative
ditengah polarisasi yg dampak pilpres amp kontestasi yg dtng waras bijak dlm menelaah informasi objektivitas landasan bersikap terlanjur fanatik yoklah dikurangin semoga tdk mudah terprovokasi,positive
keren banget semoga indonesia terlindungi ciptaan pilpres,positive
sdh berkontribusi thd negara biarkan tiket capress kpd amp dukung beliau beliau wujudkan citax negara yg kuat aman amp makmur rakyat nya dikenang amp sejarah mencatat bangsa,positive
pengamat politik menilai kesuksesan kinerja kbumn berhasil penilaian publik positif dlm mendorong hadirnya transformasi tubuh bumn menguatkan dukungan bekal pilpres,positive
miris ngimpi presiden,negative
jabatan presiden berbeda jabatan ketua partai politik berbeda jabatan ketua ormas tanwir rakornas memperpanjang jabatannya,neutral
sejalan dgn pengunduran pilpres knp aturan terkesan buru buru direvisi,neutral
tinjau lokasi kebakaran pasar gembrong anies diteriaki calon presiden polri andika rossa,neutral
dicatat pemilu pilpres istana negara gedung dpr dibangun ikn ganti presiden jakarta ibukota negara,neutral
giring mh udh gitu kmren bg msh pengen jokowi jdi presiden rakyat pengen tu jokowi mundur,neutral
tukang fitnah sampah pilpres gabung pilkada dki gentayangan medsos,negative
ganjar pranowo layak presiden gantikan jokowi rendah hati jumawa,positive
terangan agama dipakai mendukung pemilu gitu ya aja sih kaya pas pemilihan gubernur iya ampuhh,negative
wuih keren neh insya allah presiden bang catat,positive
yaah ngatain aja bebass suka lo bro,neutral
ya emang perjanjian politik nggak konsekuensi hukumnya palingan konsekuensi sosial perjanjian politik anies konteksnya pilpres cmiiw tulis warganet,neutral
lho ga buka klo big data analisa kebenaran datanya big data big dusta,negative
presidential threshold menjadikan demokrasi kt mnjdi demokrasi kriminal demokrasi jual beli perahu demokrasi yg kekuatan uang utk memenangkan kompetisi pilpres amp wapres selamatkann indonesia oligarki,neutral
pilpres ditunda dgn alasan membebani rakyat perpanjang karpet merah pilkada ditengah gawatnya pandemi aja dipaksa inget anak mantu,neutral
gk presiden tukang nonton bokep generasi muda indonesia nnti nya amit,negative
prabowo komentari keras pemerintahan presiden jokowi kemenkeu bu sri mulyani lawan jokowi prabowo bahu membahu dgn tunjukkan manner bagus,positive
pendukung bodoh capres mantan gub jakarta pengumuman amp pasang capres klo bacapres betol uu pemilu sah clear,negative
presiden jokowi jg islam tp dserang jg yg nyerang psti pengasong khilafah yg kelakuan ga beda sm pkiplaying victim wan kibul serang pdhl pndukungnya yg suka kofar kafirin org bhkan muslim serangtobat lu drun,negative
insyaa allah presiden indonesia nya negara bersatu adil makmur sejahtera indonesia bertaqwa,positive
partai tunggu arahan pakde jokowi pilpres semoga pk jokowi nunjuk ganjar prabowo,positive
buktikan pemilu butuhnya silaturahmi joko cahyono,neutral
semoga lancar capres menangkan pilpres mendukung anies utk perubahan indonesia,positive
mendirikan partai mencalonkan presiden ri,positive
mengerucut ganjar pranowo capresnya iya iya masak kagak sih,neutral
pokoknya tawaran kepentingan ya salah satunya ridwan kamil masuklah pilpres,neutral
zonk lok pendapatku sih tanda presiden disegani dihargai bangsa pandangan dr kaca kebencian ya dribkacamata pk zonk,negative
tinggal hitungan jam tahapan pemilu bismillah semoga kemudahan kelancaran kesehatan melaksanakan tugas kedepannya,positive
semoga ketum partai berpikir bu mega ketum demokrasi pancasila mpr memilih presiden amp menetapkan gbhnpphn insyaallah setuju dgn mpr pilih presiden capres,positive
tanggapi fx rudy bawa foto gunung sinai didoakan mosok diamini aye mah langsung aminin insyaallah ijin allah swt jdi presiden aamiin yra klik baca,positive
jujur gw bangga anak free york terima kasih membangun tanah tumpah darah ku semoga allah ridho menjadikan mu presiden negeri indonesia raya aamiin allahumma aamiin,positive
selamat presiden semoga humble amanah junjung toleransi,positive
arahanya suruh dukung puan pilih ganjar yg incer ketum banteng kalo capres ganjar itumah hoax berbayar oligarki monyet,negative
kawal rapatkan barisan presiden,positive
tp lawan kpu curang pakai hitung cepatquick count tdk salah inputkan tuntaskan konflik pilpres kpu brsm bawaslu konflik pilpres bawa mk pradugagt mk condong capres fihak penguasa tnipolri bersikaplah netral,neutral
doa dukungan anies nasdem semoga menjadikan lancarnya langkah pilpres,positive
manusia pendatang yg jiwa hatinya indonesia palestina napsu presiden indonesia sungguh waras waras pribumi lokal mendukung maju pilpres indonesia budak arab,negative
elektabilitas joko widodo mengungguli nama nama calon berpeluang kontestasi pemilihan presiden pilpres hasil survei lembaga polmatrix terbaru survei jokowi tertinggi raihan persen,neutral
capres ninggalin umat islam udah gak laku,negative
nggak nya pilihan ditentukan resmi capres cawapres skr sebatas pencitraan blm memenuhi syarat utk dipilih,neutral
semoga ganjar pranowo presiden jokowi,positive
bang dahnil tolong prabowo fokus kerja nggak mimpi calon presiden beliau dah jgn bilang timbul tenggelam rakyat tenggelam oligarki,negative
presiden kadrun cocok wan anus si racun politik indonesia,negative
kl emg bner sprti ituknp ahaye ngotot pngn jd presiden,neutral
semoga allah swt pertolongan memenangkan pilpres aamiin ya rabbal aalamiin,positive
org zonky yg berperan kekalahan kali capres yg suka prabowo tp gak suka zonky dkk lbh memilih lawan capresnya,negative
tolong ganjar presiden sugengcalo kerja tanggung dkk megang duit pencari kerja nganggur suwun ngihh,negative
reposted from hasil rekapitulasi pdpb kota salatiga maret orang rincian laki laki perempuan,neutral
pedoman presiden lihat aja ri menghadapi resko,neutral
tuntutan dituruti stop unjuk,neutral
presiden dipilih dukungan propinsi kepala negara tentukan orang orang yg pendidikannya rendah hak suara yg pendidikan hasilnya jokowi wkwkwk,negative
sukaaaak banget liat tokoh dicintai rakyat kinerjanya pasangan capres cawapres idola top semoga dimudahkan maju pilpres,positive
bacot munafik yg ahli tata bae btw si anus sdh ticket capresnkah modal parpolnya dipanggil oktober semogaaaaaaaaaaaaa,negative
tunda pemilu masuk akal mengakalin rakyat enaknya pemimpin akal akalan negeri akalan hihihihi ketawa akalan ya,neutral
sdhlah biarkan didaftarkan biarkan rakyat memilih rakyat sdh cerdas yg mari berdoa indonesia dipimpin rakyat yaa allah petunjukmu kpd rakyat indonesia utk memilih presiden yg engkau ridhoi,positive
presiden aja jijik ama pendukungnya yg rakyat jelantah disalami kayak pegang barang najis,negative
baca paradoks indonesia pikir pikiran maju pilpres gagasan ide tulis perihal ekonomi relevan rangka memperbaiki ekonomi indonesia mohon menegur kader,neutral
semoga pilpres muncul presiden membawa indonesia era keterpurukan,positive
terima kasih pulau dewata sambutan ramah nya relawan dpp dpw dpc saga indonesia mari gass pool mendukung sbg presiden pilih ganjar,positive
percaya utk calonkan presiden sungguh memalukan,negative
sulit memahami bahasa makhluk alien ndul herannya yg diledeki ndul mesti presiden ya kemarin jokowi diledekin ndul,negative
